flight_no.,date_and_time_(utc),"version,_booster[h]",launch_site,payload[i],payload_mass,orbit,customer,launch_outcome,booster_landing,latitude,longitude
204,"February 17, 2023 19:12[52]",F9 B5 B1063‑9,"Vandenberg, SLC‑4E",Starlink: Group 2-5 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
205,"February 18, 2023 03:59[57]",F9 B5 B1077‑3,"Cape Canaveral, SLC‑40",Inmarsat-6 F2,"5,470 kg (12,060 lb)",GTO,Inmarsat,Success,Success (JRTI),28.5618571,-80.577366
206,"February 27, 2023 23:13[63]",F9 B5 B1076‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-1 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
207,"March 2, 2023 05:34[69]",F9 B5 B1078‑1,"Kennedy, LC‑39A",Crew-6 (Crew Dragon C206.4 Endeavour),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS),Success,Success (JRTI),28.6080585,-80.6039558
208,"March 3, 2023 18:38[63]",F9 B5 B1061‑12,"Vandenberg, SLC‑4E",Starlink: Group 2-7 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
209,"March 9, 2023 19:13[73]",F9 B5 B1062‑13,"Cape Canaveral, SLC‑40",OneWeb 17 (40 satellites),"6,000 kg (13,000 lb)",LEO,OneWeb,Success,Success (LZ‑1),28.5618571,-80.577366
210,"March 15, 2023 00:30[74]",F9 B5 B1073‑7,"Kennedy, LC‑39A",SpaceX CRS-27 (Dragon C209.3),"2,852 kg (6,288 lb)",LEO (ISS),NASA (CRS),Success,Success (ASOG),28.6080585,-80.6039558
211,"March 17, 2023 19:26[79]",F9 B5 B1071‑8,"Vandenberg, SLC‑4E",Starlink: Group 2-8 (52 satellites),"~16,200 kg (35,700 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
212,"March 17, 2023 23:38[79]",F9 B5 B1069‑6,"Cape Canaveral, SLC‑40",SES-18 & SES-19,"~7,000 kg (15,000 lb)",GTO,SES,Success,Success (JRTI),28.5618571,-80.577366
213,"March 24, 2023 15:43[82]",F9 B5 B1067‑10,"Cape Canaveral, SLC‑40",Starlink: Group 5-5 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
214,"March 29, 2023 20:01[84]",F9 B5 B1077‑4,"Cape Canaveral, SLC‑40",Starlink: Group 5-10 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
