flight_no.,date_and_time_(utc),"version,_booster[h]",launch_site,payload[i],payload_mass,orbit,customer,launch_outcome,booster_landing,latitude,longitude
410,"December 17, 2024 00:52[437]",F9 B5 B1085‑4,"Cape Canaveral, SLC‑40",GPS III-7 (RRT-1)[438][439],"~4,350 kg (9,590 lb)",MEO,USSF,Success,Success (ASOG),28.5618571,-80.577366
411,"December 17, 2024 13:19[440]",F9 B5 B1063‑22,"Vandenberg, SLC‑4E",NROL-149 (22 Starshield satellites)[441],Unknown,LEO,NRO,Success,Success (OCISLY),34.6328344,-120.6107465
412,"December 17, 2024 22:26[442]",F9 B5 B1090‑1,"Kennedy, LC‑39A",O3b mPOWER 7 & 8,"3,400 kg (7,500 lb)",MEO,SES,Success,Success (JRTI),28.6080585,-80.6039558
414,"December 23, 2024 05:35[446]",F9 B5 B1080‑14,"Kennedy, LC‑39A",Starlink: Group 12-2 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.6080585,-80.6039558
416,"December 29, 2024 05:00[448]",F9 B5 B1083‑7,"Cape Canaveral, SLC‑40",Astranis: From One to Many (4 satellites),"1,600 kg (3,500 lb)",GTO,Astranis,Success,Success (ASOG),28.5618571,-80.577366
417,"December 31, 2024 05:39[450]",F9 B5 B1078‑16,"Kennedy, LC‑39A",Starlink: Group 12-6 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.6080585,-80.6039558
418,"January 4, 2025 01:27[455]",F9 B5 B1073‑20,"Cape Canaveral, SLC‑40",Thuraya 4-NGS,"5,000 kg (11,000 lb)",GTO,Thuraya,Success,Success (ASOG),28.5618571,-80.577366
419,"January 6, 2025 20:43[458]",F9 B5 B1077‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6‑71 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
420,"January 8, 2025 15:27[459]",F9 B5 B1086‑3,"Kennedy, LC‑39A",Starlink: Group 12-11 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
421,"January 10, 2025 03:53[460]",F9 B5 B1071‑22,"Vandenberg, SLC‑4E",NROL-153 (22 Starshield satellites)[461],Unknown,LEO,NRO,Success,Success (OCISLY),34.6328344,-120.6107465
422,"January 10, 2025 19:11[462]",F9 B5 B1067‑25,"Cape Canaveral, SLC‑40",Starlink: Group 12-12 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
423,"January 13, 2025 16:47[463]",F9 B5 B1080‑15,"Cape Canaveral, SLC‑40",Starlink: Group 12-4 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
424,"January 14, 2025 19:09[464]",F9 B5 B1088‑2,"Vandenberg, SLC‑4E",Transporter-12 (131 payload smallsat rideshare),"2,000 kg (4,400 lb)",SSO,Various,Success,Success (LZ‑4),34.6328344,-120.6107465
425,"January 15, 2025 06:11[465]",F9 B5 B1085‑5,"Kennedy, LC‑39A",Blue Ghost Mission 1,"2,517 kg (5,549 lb)",TLI,Firefly Aerospace & NASA (CLPS),Success,Success (JRTI),28.6080585,-80.6039558
426,"January 21, 2025 05:24[471]",F9 B5 B1083‑8,"Kennedy, LC‑39A",Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites,"~15,300 kg (33,700 lb) (Starlink)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
427,"January 21, 2025 15:45[473]",F9 B5 B1082‑10,"Vandenberg, SLC‑4E",Starlink: Group 11-8 (27 satellites),"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
428,"January 24, 2025 14:07[474]",F9 B5 B1063‑23,"Vandenberg, SLC‑4E",Starlink: Group 11-6 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
429,"January 27, 2025 22:05[475]",F9 B5 B1076‑20,"Cape Canaveral, SLC‑40",Starlink: Group 12-7 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
430,"January 30, 2025 01:34[476]",F9 B5 B1073‑21,"Kennedy, LC‑39A",Spainsat NG I,"6,100 kg (13,400 lb)[477]",GTO,Hisdesat,Success,No attempt,28.6080585,-80.6039558
432,"February 4, 2025 10:15[483]",F9 B5 B1069‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-3 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
433,"February 4, 2025 23:13[484]",F9 B5 B1086‑4,"Kennedy, LC‑39A",WorldView Legion 5 & 6 (2 satellites),"1,500 kg (3,300 lb)",LEO,Maxar Technologies,Success,Success (LZ‑1),28.6080585,-80.6039558
434,"February 8, 2025 19:18[488]",F9 B5 B1078‑17,"Cape Canaveral, SLC‑40",Starlink: Group 12-9 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
436,"February 11, 2025 18:53[490]",F9 B5 B1077‑18,"Cape Canaveral, SLC‑40",Starlink: Group 12-18 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
437,"February 15, 2025 06:14",F9 B5  B1067‑26,"Cape Canaveral, SLC‑40",Starlink: Group 12-8 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
438,"February 18, 2025 23:21[491]",F9 B5 B1080‑16,"Cape Canaveral, SLC‑40",Starlink: Group 10-12 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
439,"February 21, 2025 15:19",F9 B5 B1076‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-14 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
440,"February 23, 2025 01:38",F9 B5 B1082‑11,"Vandenberg, SLC‑4E",Starlink: Group 15-1 (22 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
442,"February 27, 2025 03:34",F9 B5 B1092‑1[497],"Cape Canaveral, SLC‑40",Starlink: Group 12-13 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
443,"March 3, 2025 02:24[499]",F9 B5 B1086‑5,"Cape Canaveral, SLC‑40",Starlink: Group 12-20 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Failure (JRTI),28.5618571,-80.577366
444,"March 12, 2025 03:10[502]",F9 B5 B1088‑3,"Vandenberg, SLC‑4E",SPHEREx PUNCH[503],"758 kg (1,671 lb)",SSO,NASA,Success,Success (LZ‑4),34.6328344,-120.6107465
445,"March 13, 2025 02:35[504]",F9 B5 B1069‑22,"Cape Canaveral, SLC‑40",Starlink: Group 12-21,"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
446,"March 14, 2025 23:03[505]",F9 B5 B1090‑2,"Kennedy, LC‑39A",Crew-10 (Crew Dragon C210.4 Endurance),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CCP),Success,Success (LZ‑1),28.6080585,-80.6039558
447,"March 15, 2025 06:43[506]",F9 B5 B1081‑13,"Vandenberg, SLC‑4E",Transporter-13 (74 payload smallsat rideshare)[271],Unknown[j],SSO,Various,Success,Success (LZ‑4),34.6328344,-120.6107465
448,"March 15, 2025 11:35[507]",F9 B5 B1078‑18,"Cape Canaveral, SLC‑40",Starlink: Group 12-16,"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
449,"March 18, 2025 19:57[508]",F9 B5 B1077‑19,"Cape Canaveral, SLC‑40",Starlink: Group 12-25,"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
450,"March 21, 2025 06:49[509]",F9 B5 B1088‑4,"Vandenberg, SLC‑4E",NROL-57 (~11 Starshield satellites),Unknown,LEO,NRO,Success,Success (LZ‑4),34.6328344,-120.6107465
451,"March 24, 2025 17:48[510]",F9 B5 B1092‑2,"Cape Canaveral, SLC‑40",NROL-69,Unknown,LEO,USSF,Success,Success (LZ‑1),28.5618571,-80.577366
452,"March 26, 2025 22:11[512]",F9 B5 B1063‑24,"Vandenberg, SLC‑4E",Starlink: Group 11-7,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
453,"March 31, 2025 19:52[513]",F9 B5 B1080‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-80,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
454,"April 1, 2025 01:46[514]",F9 B5 B1085‑6,"Kennedy, LC‑39A",Fram2 (Crew Dragon C207.4 Resilience),"~13,000 kg (29,000 lb)",Polar (Retrograde),Chun Wang,Success,Success (ASOG),28.6080585,-80.6039558
455,"April 4, 2025 01:02[517]",F9 B5 B1088‑5,"Vandenberg, SLC‑4E",Starlink: Group 11-13,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
456,"April 6, 2025 03:07[518]",F9 B5 B1078‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-72,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
457,"April 7, 2025 23:06[519]",F9 B5 B1093‑1,"Vandenberg, SLC‑4E",Starlink: Group 11-11,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
458,"April 12, 2025 12:25[520]",F9 B5 B1071‑24,"Vandenberg, SLC‑4E",NROL-192 (22 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY),34.6328344,-120.6107465
459,"April 13, 2025 00:53[521]",F9 B5 B1083‑10,"Kennedy, LC‑39A",Starlink: Group 12-17,"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
460,"April 14, 2025 04:00[522]",F9 B5 B1067‑27,"Cape Canaveral, SLC‑40",Starlink: Group 6-73,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
461,"April 20, 2025 12:29[523]",F9 B5 B1082‑12,"Vandenberg, SLC‑4E",NROL-145 (22 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY),34.6328344,-120.6107465
462,"April 21, 2025 08:15[524]",F9 B5 B1092‑3,"Kennedy, LC‑39A",SpaceX CRS-32 (Cargo Dragon C209.5),"3,021 kg (6,660 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1),28.6080585,-80.6039558
463,"April 22, 2025 00:48[526]",F9 B5 B1090‑3,"Cape Canaveral, SLC‑40","Bandwagon-3 (425Sat-3,[527] Tomorrow-S7, PHOENIX)",Unknown[j],LEO,Republic of Korea Armed Forces Tomorrow.io Atmos Space Cargo,Success,Success (LZ‑2),28.5618571,-80.577366
